NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL
class (for reference only),Reference,class (for reference only),Reference,Name,Notes
Achievement,Achievement,*,*,Achievement,""
AchievementList,AchievementList,*,*,AchievementList,""
AchievementMap,AchievementMap,*,*,AchievementMap,""
AxisAlignedBB,AxisAlignedBB,*,*,AxisAlignedBB,""
Block,Block,*,*,Block,""
Block,Block,*,*,Block,""
BlockBed,BlockBed,*,*,BlockBed,""
BlockBloodStone,BlockBloodStone,*,*,BlockBloodStone,""
BlockBookshelf,BlockBookshelf,*,*,BlockBookshelf,""
BlockBreakable,BlockBreakable,*,*,BlockBreakable,""
BlockButton,BlockButton,*,*,BlockButton,""
BlockCactus,BlockCactus,*,*,BlockCactus,""
BlockCake,BlockCake,*,*,BlockCake,""
BlockChest,BlockChest,*,*,BlockChest,""
BlockClay,BlockClay,*,*,BlockClay,""
BlockCloth,BlockCloth,*,*,BlockCloth,""
BlockContainer,BlockContainer,*,*,BlockContainer,""
BlockContainer,BlockContainer,*,*,BlockContainer,""
BlockCrops,BlockCrops,*,*,BlockCrops,""
BlockDirt,BlockDirt,*,*,BlockDirt,""
BlockDispenser,BlockDispenser,*,*,BlockDispenser,""
BlockDoor,BlockDoor,*,*,BlockDoor,""
BlockFence,BlockFence,*,*,BlockFence,""
BlockFire,BlockFire,*,*,BlockFire,""
BlockFlower,BlockFlower,*,*,BlockFlower,""
BlockFlowing,BlockFlowing,*,*,BlockFlowing,""
BlockFluids,BlockFluids,*,*,BlockFluids,""
BlockFurnace,BlockFurnace,*,*,BlockFurnace,""
BlockGlass,BlockGlass,*,*,BlockGlass,""
BlockGrass,BlockGrass,*,*,BlockGrass,""
BlockGravel,BlockGravel,*,*,BlockGravel,""
BlockIce,BlockIce,*,*,BlockIce,""
BlockJukeBox,BlockJukeBox,*,*,BlockJukeBox,""
BlockLadder,BlockLadder,*,*,BlockLadder,""
BlockLeaves,BlockLeaves,*,*,BlockLeaves,""
BlockLeavesBase,BlockLeavesBase,*,*,BlockLeavesBase,""
BlockLever,BlockLever,*,*,BlockLever,""
BlockLightStone,BlockLightStone,*,*,BlockLightStone,""
BlockLockedChest,BlockLockedChest,*,*,BlockLockedChest,""
BlockLog,BlockLog,*,*,BlockLog,""
BlockMinecartTrack,BlockMinecartTrack,*,*,BlockMinecartTrack,""
BlockMobSpawner,BlockMobSpawner,*,*,BlockMobSpawner,""
BlockMushroom,BlockMushroom,*,*,BlockMushroom,""
BlockNote,BlockNote,*,*,BlockNote,""
BlockObsidian,BlockObsidian,*,*,BlockObsidian,""
BlockOre,BlockOre,*,*,BlockOre,""
BlockOreBlock,BlockOreBlock,*,*,BlockOreBlock,""
BlockPortal,BlockPortal,*,*,BlockPortal,""
BlockPressurePlate,BlockPressurePlate,*,*,BlockPressurePlate,""
BlockPumpkin,BlockPumpkin,*,*,BlockPumpkin,""
BlockRedstoneOre,BlockRedstoneOre,*,*,BlockRedstoneOre,""
BlockRedstoneRepeater,BlockRedstoneRepeater,*,*,BlockRedstoneRepeater,""
BlockRedstoneTorch,BlockRedstoneTorch,*,*,BlockRedstoneTorch,""
BlockRedstoneWire,BlockRedstoneWire,*,*,BlockRedstoneWire,""
BlockReed,BlockReed,*,*,BlockReed,""
BlockSand,BlockSand,*,*,BlockSand,""
BlockSandStone,BlockSandStone,*,*,BlockSandStone,""
BlockSapling,BlockSapling,*,*,BlockSapling,""
BlockSign,BlockSign,*,*,BlockSign,""
BlockSlowSand,BlockSlowSand,*,*,BlockSlowSand,""
BlockSnow,BlockSnow,*,*,BlockSnow,""
BlockSnowBlock,BlockSnowBlock,*,*,BlockSnowBlock,""
BlockSoil,BlockSoil,*,*,BlockSoil,""
BlockSponge,BlockSponge,*,*,BlockSponge,""
BlockStairs,BlockStairs,*,*,BlockStairs,""
BlockStationary,BlockStationary,*,*,BlockStationary,""
BlockStep,BlockStep,*,*,BlockStep,""
BlockStone,BlockStone,*,*,BlockStone,""
BlockTNT,BlockTNT,*,*,BlockTNT,""
BlockTorch,BlockTorch,*,*,BlockTorch,""
BlockWorkbench,BlockWorkbench,*,*,BlockWorkbench,""
CanvasCrashReport,CanvasCrashReport,*,*,CanvasCrashReport,""
CanvasIsomPreview,CanvasIsomPreview,*,*,CanvasIsomPreview,""
CanvasMajongLogo,CanvasMajongLogo,*,*,CanvasMajongLogo,""
CanvasMinecraftApplet,CanvasMinecraftApplet,*,*,CanvasMinecraftApplet,""
ChatLine,ChatLine,*,*,ChatLine,""
Chunk,Chunk,*,*,Chunk,""
Chunk,Chunk,*,*,Chunk,""
ChunkCache,ChunkCache,*,*,ChunkCache,""
